говорить, сказать;say;said;said;saying;says
делать;make;made;made;making;makes
идти, уходить;go;went;gone;going;goes
брать;take;took;taken;taking;takes
идти, приходить;come;came;come;coming;comes
видеть;see;saw;seen;seeing;sees
знать;know;knew;known;knowing;knows
получать;get;got;got;getting;gets
давать;give;gave;given;giving;gives
находить;find;found;found;finding;finds
думать;think;thought;thought;thinking;thinks
рассказывать, сказать;tell;told;told;telling;tells
становиться, делаться;become;became;become;becoming;becomes
показывать;show;showed;shown;showing;shows
оставлять, покидать, уезжать;leave;left;left;leaving;leaves
чувствовать;feel;felt;felt;feeling;feels
